product name,Current Price,Previous Price, Price Per Each ,Category,Amount,Units
"Handcrafted-Style Chips, Lightly Salted Beet Chps",4.99,4.99,3.33,Chips & Snacks,150,g
Seasoned Popcorn,3.99,3.99,2.22,Chips & Snacks,180,g
Original Snack Mix 415g,5.99,5.99,1.44,Chips & Snacks,415,g
Masala Chana     ,1.79,1.79,1.19,Chips & Snacks,150,g
Garden Salsa Flavour Multigrain Snacks 205g,4.79,4.79,2.34,Chips & Snacks,205,g
Jalapeño & Cheddar Flavour Seasoned Popcorn 180g,4.29,4.29,2.38,Chips & Snacks,180,g
Alcohol Free Beer with Natural Flavours ,12.49,12.49,0.63,Non-Alcoholic Drinks,1980,ml
Spicy Dill Pickle Flavoured Potato Chips,3.99,3.99,1.81,Chips & Snacks,220,g
Hint of Roasted Garlic flavour tortilla chips 275g,4.49,4.49,1.63,Chips & Snacks,275,g
Goad Gathiya,2.99,2.99,0.88,Chips & Snacks,341,g
Soan Papdi Indian Sweets,5.29,5.29,1.06,Chips & Snacks,500,g
Bits & Bites Original Snacks Crispers,2.79,2.79,1.92,Chips & Snacks,145,g
"Krinkle Cut Sweet Potato Chips, Sea Salt",5.49,5.49,3.33,Chips & Snacks,165,g
"Gourmet Brown Rice Crisps, Sea Salt",4.49,4.49,2.90,Chips & Snacks,156,g
"Handcrafted-Style Chips, BBQ Sweet Potato Chips",4.79,4.79,3.19,Chips & Snacks,150,g
Maple Syrup Peanuts,5.49,5.49,2.75,Chips & Snacks,200,g
Mozzarella 'n Marinara Flavoured Potato Chips,4.49,4.49,2.49,Chips & Snacks,180,g
Snack Stacks Original,6.99,6.99,3.07,Chips & Snacks,19,g
Rounds Tortilla Chips 480g,5.99,5.99,1.25,Chips & Snacks,480,g
Pizza Cracker Bites,4.99,4.99,4.16,Chips & Snacks,120,g
"Veggie Chips, Sour Cream & Onion",3.79,3.79,2.69,Chips & Snacks,141,g
"Snapea Crisps, Original",3.99,3.99,4.29,Chips & Snacks,93,g
Buffalo Ranch Potato Chips,3.49,3.49,2.24,Chips & Snacks,156,g
Yellow Corn Tortilla Chips,6.29,6.29,2.10,Chips & Snacks,300,g
Apple Squeeze Fruit Snacks,2.79,2.79,0.78,Chips & Snacks,360,g
KFC Original Chicken Potato Chips,4.49,4.49,2.49,Chips & Snacks,180,g
Apple Mango Sweet Potato Squeeze Fruit Snacks,2.79,2.79,0.78,Chips & Snacks,360,g
Mixed Nuts with Sea Salt,6.49,6.49,3.25,Chips & Snacks,200,g
Fruit Roll-Ups™ Variety Pack Jolly Rancher Green Apple and Watermelon,3.99,3.99,2.83,Chips & Snacks,141,g
Parfait Peaches in Strawberry Gel,3.69,3.69,0.75,Chips & Snacks,492,g
Rich and Chewy Chocolate Chip Granola Bars,6.99,6.99,1.21,Chips & Snacks,576,g
Tortillas Deep Blue + Flax Organic,5.49,5.49,1.83,Chips & Snacks,300,g
Exotic Vegetables Chips,5.49,5.49,3.23,Chips & Snacks,170,g
"Handcrafted-Style Chips, Black Sea Salt",4.79,4.79,3.74,Chips & Snacks,128,g
"Vegetable Chips, Mediterranean",5.49,5.49,3.23,Chips & Snacks,170,g
"7 Grain with Quinoa Crunchy Bars, Honey Oat Flax 10 Bars",4.29,4.29,2.15,Chips & Snacks,200,g
"Vegetable Chips, Mediterranean",5.49,5.49,3.23,Chips & Snacks,170,g
"Crackers and Cheese, Processed Cheese Product, Club Size",10.49,10.49,1.51,Chips & Snacks,696,g
World of Flavours Filipino Adobo Chicken Flavour Rippled Potato Chips,2.79,2.79,1.40,Chips & Snacks,200,g
Chicago Mix Popcorn,3.99,3.99,1.81,Chips & Snacks,220,g
Granola Bars Crunchy Apple Crisp,3.99,3.99,1.90,Chips & Snacks,210,g
Dipped and Chewy Chocolate Chip Granola Bars,6.99,6.99,1.25,Chips & Snacks,558,g
Rich and Chewy Chocolate Chip Granola Bars,2.79,2.79,2.33,Chips & Snacks,120,g
"Cashews, Unsalted",17.99,17.99,2.25,Chips & Snacks,800,g
Sesame Seaweed Pumpkin Seeds,2.29,2.29,6.54,Chips & Snacks,35,g
"Fruit Sauce, Variety Pack",16.99,16.99,0.94,Chips & Snacks,1.8,kg
"Go Pure Fruit and Oat Bars, Banana and Strawberry",2.99,3.29,2.14,Chips & Snacks,140,g
White Cheddar Seasoned Popcorn Halloween Pack 40 CT,11.49,11.49,2.39,Chips & Snacks,480,g
Loads of Cheesy Garlic Bread Flavour Rippled Potato Chips,2.79,2.79,1.40,Chips & Snacks,200,g
Smokey Bbq Organic,4.49,4.49,3.33,Chips & Snacks,135,g
Chocolate Coconut Chips 79g,6.29,6.29,7.96,Chips & Snacks,79,g
Fava Beans Roasted Dill Pickle,4.99,4.99,3.56,Chips & Snacks,140,g
"Plantain Chips, Spicy",4.19,4.19,2.10,Chips & Snacks,200,g
"Squeeze, Apple Berries",3.99,3.99,1.11,Chips & Snacks,90,g
Organic Rice Cake Minis Apple Pie Flavoured,6.49,6.49,4.57,Chips & Snacks,142,g
Snack Stacks Sour Cream and Onion,6.99,6.99,3.07,Chips & Snacks,228,g
"Fruitsations Apple Sauce, Unsweetened",3.29,3.29,3.16,Chips & Snacks,104,ml
"Fruit Roll Up Snack, Tropical Tie-Dye",3.99,3.99,2.83,Chips & Snacks,141,g
"Fruit by the Foot Variety Pack, 3 Flavours ",11.99,11.99,1.88,Chips & Snacks,637,g
Fancy Nut Mix Unsalted,17.99,17.99,1.98,Chips & Snacks,908,g
Fire Roasted Jalapeño Craft Pretzels,5.49,5.49,4.22,Chips & Snacks,130,g
Dipps Granola Bars – Rainbow Chip,2.29,2.49,1.53,Chips & Snacks,150,g
"Dutch Crunch Kettle Chips, Jalapeno & Cheddar",3.99,3.99,2.00,Chips & Snacks,200,g
Good Bites Chocolate Macaroon Bites,4.29,4.29,2.86,Chips & Snacks,150,g
Original Jerky,14.99,14.99,6.52,Chips & Snacks,230,g
Fruitsource 100% Fruit Bar Variety Pack,21.99,21.99,1.98,Chips & Snacks,1.11,kg
Flamin’ Hot Bar-B-Q Flavoured Potato Chips,4.49,4.49,2.36,Chips & Snacks,190,g
Lentil Chips Salt And Vinegar,4.29,4.29,3.80,Chips & Snacks,113,g
Potato Crisps,2.25,2.25,1.73,Chips & Snacks,130,g
Fruitsource 100% Fruit and Veggie Bar Pack,10.99,10.99,2.48,Chips & Snacks,444,g
Sea Salt & Black Pepper Kettle Cooked Peanuts,3.99,3.99,1.45,Chips & Snacks,275,g
Chewy Whole Grain Bars Dark Mocha Almond,4.29,4.29,2.45,Chips & Snacks,175,g
Microwave Butter Flavour Popcorn,4.79,4.79,0.58,Chips & Snacks,822,g
"7 Grain with Quinoa Crunchy Bars, Chocolate Chip Chia 10 Bars",4.29,4.29,2.15,Chips & Snacks,200,g
Crunchy Maple Brown Sugar Granola Bars,3.99,3.99,1.90,Chips & Snacks,210,g
"Special K Fruit Crisps, Strawberry Flavour, 10 Bars",3.49,3.49,2.79,Chips & Snacks,125,g
Non-Alcoholic Beer ,12.99,12.99,0.66,Non-Alcoholic Drinks,1980,ml
Loads Of All Dressed Rippled Potato Chips,2.79,2.79,1.40,Chips & Snacks,200,g
"Squeeze, Applesauce Apple Banana",3.99,3.99,1.11,Chips & Snacks,360,g
Shandong Roasted Peanuts,4.79,4.79,0.96,Chips & Snacks,500,g
Scorchin' Potato Chips Bbq Flavour,3.49,3.49,2.24,Chips & Snacks,156,g
Chili Lime Sunflower Seeds,3.29,3.29,1.57,Chips & Snacks,210,g
Flavoured Wheat Beer Blanc,9.49,10.49,0.48,Non-Alcoholic Drinks,1980,ml
Sour Cream & Onion Ripple Cut Potato Chips ,4.99,4.99,0.67,Chips & Snacks,750,g
Fruitsource 100% Fruit and Veggie Bar Pack,10.99,10.99,2.48,Chips & Snacks,444,g
Chocolate Coconut Chips 79g,6.29,6.29,7.96,Chips & Snacks,79,g
Fava Beans Roasted Dill Pickle,4.99,4.99,3.56,Chips & Snacks,140,g
"Plantain Chips, Spicy",4.19,4.19,2.10,Chips & Snacks,200,g
"Squeeze, Apple Berries",3.99,3.99,1.11,Chips & Snacks,90,g
Organic Rice Cake Minis Apple Pie Flavoured,6.49,6.49,4.57,Chips & Snacks,142,g
Snack Stacks Sour Cream and Onion,6.99,6.99,3.07,Chips & Snacks,228,g
"Fruitsations Apple Sauce, Unsweetened",3.29,3.29,3.16,Chips & Snacks,104,ml
"Fruit Roll Up Snack, Tropical Tie-Dye",3.99,3.99,2.83,Chips & Snacks,141,g
"Fruit by the Foot Variety Pack, 3 Flavours ",11.99,11.99,1.88,Chips & Snacks,637,g
Fancy Nut Mix Unsalted,17.99,17.99,1.98,Chips & Snacks,908,g
Tikha Gathiya ,2.99,2.99,0.88,Chips & Snacks,341,g
Fire Roasted Jalapeño Craft Pretzels,5.49,5.49,4.22,Chips & Snacks,130,g
Dipps Granola Bars – Rainbow Chip,2.29,2.49,1.53,Chips & Snacks,150,g
Parmesan & Roasted Garlic Chips,2.79,2.79,3.10,Chips & Snacks,90,g
Fruitsource 100% Fruit Bar Variety Pack,21.99,21.99,1.98,Chips & Snacks,1.11,kg
Flamin’ Hot Bar-B-Q Flavoured Potato Chips,4.49,4.49,2.36,Chips & Snacks,190,g
Lentil Chips Salt And Vinegar,4.29,4.29,3.80,Chips & Snacks,113,g
Potato Crisps,2.25,2.25,1.73,Chips & Snacks,130,g
Nügabar Coated Nougat Bars Chocolate & Fudge,2.99,2.99,1.71,Chips & Snacks,175,g
Pistachios Sea Salt,19.49,19.49,2.44,Chips & Snacks,800,g
Yogurt and Raspberry Popcorn Bars,3.99,3.99,2.66,Chips & Snacks,150,g
"Dutch Crunch Kettle Chips, Jalapeno & Cheddar",3.99,3.99,2.00,Chips & Snacks,200,g
"Fruit Cups, Peach Club Pack   (Case)",18.99,18.99,0.84,Chips & Snacks,2250,ml
Good Bites Chocolate Macaroon Bites,4.29,4.29,2.86,Chips & Snacks,150,g
Original Jerky,14.99,14.99,6.52,Chips & Snacks,230,g
Sea Salt & Black Pepper Kettle Cooked Peanuts,3.99,3.99,1.45,Chips & Snacks,275,g
Chewy Whole Grain Bars Dark Mocha Almond,4.29,4.29,2.45,Chips & Snacks,175,g
Microwave Butter Flavour Popcorn,4.79,4.79,0.58,Chips & Snacks,822,g
"7 Grain with Quinoa Crunchy Bars, Chocolate Chip Chia 10 Bars",4.29,4.29,2.15,Chips & Snacks,200,g
Crunchy Maple Brown Sugar Granola Bars,3.99,3.99,1.90,Chips & Snacks,210,g
"Special K Fruit Crisps, Strawberry Flavour, 10 Bars",3.49,3.49,2.79,Chips & Snacks,125,g
Sparkling Cranberry Mango Beverage,7.49,7.49,0.37,Water,2040,ml
Panchratan Mixture,1.99,1.99,2.21,Chips & Snacks,90,g
Halloween Fruit Treats,11.99,11.99,1.59,Chips & Snacks,755,g
Crunchy Oats 'n' Honey,6.99,6.99,1.01,Chips & Snacks,690,g
Sea Salt Garden Stix,2.79,2.79,1.96,Chips & Snacks,142,g
Honey Dijon flavour kettle cooked potato chips 200g,4.99,4.99,2.50,Chips & Snacks,200,g
All In One,3.99,3.99,1.14,Chips & Snacks,350,g
Korean Roasted Seaweed Laver,1.49,1.49,9.93,Chips & Snacks,15,g
Fruit & Nut Dark Chocolate Cherry Chewy Bars,3.79,3.79,2.30,Chips & Snacks,165,g
Sour Cream & Onion Ripple Cut Potato Chips ,4.99,4.99,0.67,Chips & Snacks,750,g
Samosa,1.79,1.79,1.19,Chips & Snacks,150,g
"Sunflower Seeds, Spiced",2.88,2.88,1.11,Chips & Snacks,260,g
Caramel Popcorn,3.99,3.99,1.60,Chips & Snacks,250,g
Sweet Chili & Sour Cream flavour kettle cooked potato chips 200g,4.99,4.99,2.50,Chips & Snacks,200,g
Go Pure Soft Baked Chocolate Chip Oatmeal Bars,2.99,3.29,1.71,Chips & Snacks,175,g
"Squeeze, Apple Blueberry",3.99,3.99,1.11,Chips & Snacks,90,g
Roasted Cashews with Sea Salt,26.49,26.49,2.34,Chips & Snacks,1.13,kg
"Gourmet Brown Rice Crisps, Salsa Fresca",4.49,4.49,2.90,Chips & Snacks,155,g
Loads Of Barbecue Rippled Potato Chips,2.79,2.79,1.40,Chips & Snacks,200,g
Original Trail Mix,12.49,12.49,1.25,Chips & Snacks,1,kg
Loads of Cheesy Garlic Bread Flavour Rippled Potato Chips,2.79,2.79,1.40,Chips & Snacks,200,g
Smokey Bbq Organic,4.49,4.49,3.33,Chips & Snacks,135,g
Sesame Seaweed Pumpkin Seeds,2.29,2.29,6.54,Chips & Snacks,35,g
Sweet and Salty Almond Chewy Nut Bars,2.79,2.79,1.59,Chips & Snacks,175,g
Fru-Gel Fruit Juice Gels Strawberry,3.69,3.69,0.75,Chips & Snacks,492,g
Pork Strips Extra Thick Cut Barbecue Recipe,6.49,6.49,8.77,Chips & Snacks,74,g
Loads Of Jalapeño Popper Flavour Rippled Potato Chips,2.79,2.79,1.40,Chips & Snacks,200,g
Loads of Sour Cream & Onion Rippled Potato Chips,2.79,2.79,1.40,Chips & Snacks,200,g
Teriyaki Jerky,14.99,14.99,6.52,Chips & Snacks,230,g
Oven Baked Potato Chips Original 177g,3.99,3.99,2.25,Chips & Snacks,177,g
Spicy Chilli Crunch Tubes   ,1.49,1.49,1.86,Chips & Snacks,80,g
"Crunchy Granola Bars, Roasted Almond",3.99,3.99,1.73,Chips & Snacks,230,g
Fruit Gushers Super Sour Gushers,3.99,3.99,2.89,Chips & Snacks,138,g
Puffs Cheese Flavoured Snacks,5.99,5.99,1.54,Chips & Snacks,390,g
Trail Mix Dark Chocolate Chewy Granola Bars,3.99,3.99,2.28,Chips & Snacks,175,g
Hot Pepperoni Stick,1.29,1.29,5.86,Chips & Snacks,22,g
"Squeeze, Apple Mango",3.99,3.99,1.11,Chips & Snacks,90,g
Fruit Sauce,16.99,16.99,0.94,Chips & Snacks,1.8,kg
Potato Chips Pepperoncini,4.49,4.49,2.27,Chips & Snacks,198,g
Dipps Granola Bars - Chocolatey Chip Caramel Nut and Peanut Butter,13.99,13.99,1.50,Chips & Snacks,935,g
Churro Cinnamon Chips,6.99,6.99,4.92,Chips & Snacks,142,g
Fruit Bowls Diced Peaches in Water,3.69,3.69,0.86,Chips & Snacks,428,ml
"Nutri-Grain Cereal Bars, Raspberry 8 Bars",2.99,2.99,1.01,Chips & Snacks,295,g
"Popcorn, Extra Buttery",8.99,8.99,1.10,Chips & Snacks,820,g
Classic Potato Chips Halloween Pack 40 CT,11.49,11.49,1.80,Chips & Snacks,640,g
Restaurante Deli Rounds,4.49,4.49,1.55,Chips & Snacks,290,g
Shrimp Crackers,5.49,5.49,1.37,Chips & Snacks,400,g
Bold ‘n Baked Tangy Ranch,3.49,3.49,2.33,Chips & Snacks,150,g
Tortillas New Classics Organic,5.49,5.49,1.83,Chips & Snacks,300,g
Sea Salt Popped-Corn Chips 142g,5.99,5.99,4.22,Chips & Snacks,142,g
Potato Crisps Salt & Vinegar Flavour,4.79,4.79,2.99,Chips & Snacks,160,g
Sweet & Salty Kettle Corn Style Flavoured Popped-Corn Chips 142g,5.99,5.99,4.22,Chips & Snacks,142,g
Crispy Minis Balsamic & Bruschetta Multigrain Chips with Vegetables,2.79,2.79,3.10,Chips & Snacks,90,g
Krinkle Cut Potato Chips Salt & Fresh Ground Pepper,4.49,4.49,2.27,Chips & Snacks,198,g
Dry Petha,4.99,4.99,1.25,Chips & Snacks,400,g
"Handcrafted-Style Chips, All Natural",4.79,4.79,3.19,Chips & Snacks,150,g
"Handcrafted-Style Chips, Honey Dijon",4.79,4.79,3.74,Chips & Snacks,128,g
Cream & Onion ridged flavoured potato chips,3.99,3.99,2.42,Chips & Snacks,165,g
Butter Microwave Popcorn - 3 Pack,2.99,2.99,1.17,Chips & Snacks,255,g
"Mixed Nuts, 60% Peanuts, Roasted & Salted",5.49,5.49,2.20,Chips & Snacks,250,g
Rice Pudding Tubs,4.49,4.49,0.72,Chips & Snacks,624,g
Regular Potato Chips,10.99,10.99,1.53,Chips & Snacks,720,g
"Nutri-Grain Cereal Bars, Apple Cinnamon 8 Bars",2.99,3.49,1.01,Chips & Snacks,295,g
Spicy Garlic Peas,3.19,3.19,0.94,Chips & Snacks,341,g
Original Snacksticks Sausage Snacks,9.99,9.99,4.44,Chips & Snacks,225,g
Sweet Mesquite BBQ Roasted Broad Beans,2.99,2.99,3.52,Chips & Snacks,85,g
Jalapeno Tropicale Tortilla Chips,5.49,5.49,3.54,Chips & Snacks,155,g
Organics Sea Salt Brown Rice Cakes,2.99,2.99,2.49,Chips & Snacks,120,g
Handcrafted-Style Chips Wild Onion & Yogurt,4.79,4.79,3.19,Chips & Snacks,150,g
Hearty Dippers Tortilla Chips,4.49,4.49,1.80,Chips & Snacks,250,g
Sparkling Lite Cranberry,7.49,7.49,0.37,Water,2040,ml
Chicago Mix Popcorn,8.99,8.99,1.22,Chips & Snacks,737,g
Lots of Cherries in Water,3.69,3.69,0.86,Chips & Snacks,428,ml
Classic Mix 504g,9.99,9.99,1.98,Chips & Snacks,504,g
Hickory Smoke Flavour Roasted Almonds,4.59,4.59,2.30,Chips & Snacks,200,g
Wafer Peanut Butter Chocolate,3.79,3.79,2.06,Chips & Snacks,184,g
Extra Butter Flavour Purple Kernel Microwave Popcorn,3.49,3.49,1.41,Chips & Snacks,247,g
Fruit Gushers Family Pack,6.99,6.99,1.90,Chips & Snacks,368,g
"Almonds, BBQ",14.99,14.99,3.30,Chips & Snacks,454,g
Fruitsations Unsweetened Strawberry Kiwi Apple Sauce,3.29,3.29,0.49,Chips & Snacks,666,g
Tapioca Pudding Cups,5.29,5.29,0.78,Chips & Snacks,678,g
Double Chocolate,11.99,11.99,1.65,Chips & Snacks,728,g
Loads Of Creamy Dill Pickle Rippled Potato Chips,2.79,2.79,1.40,Chips & Snacks,200,g
Regular Ripple Cut Potato Chips,4.99,4.99,0.67,Chips & Snacks,750,g
Go Pure Oatmeal Bars Apple & Cinnamon,2.99,3.29,1.71,Chips & Snacks,175,g
Tortilla Chips Organic Rounds Unsalted,4.49,4.49,1.50,Chips & Snacks,300,g
Special K Nourish Dark Chocolate Chunks & Almonds Bar,4.29,4.29,2.60,Chips & Snacks,165,g
"Beef Jerky, Teriyaki",6.49,6.49,8.11,Chips & Snacks,80,g
"Popcorn, Smart Pop",8.99,8.99,1.28,Chips & Snacks,700,g
Wavy Salt & Vinegar flavoured potato chips,3.99,3.99,1.81,Chips & Snacks,220,g
Nügabar Coated Nougat Bars Dark Chocolate & Caramel,2.99,2.99,1.71,Chips & Snacks,175,g
"Beef Jerky, Original",6.49,6.49,8.11,Chips & Snacks,80,g
"Popcorn Bowl, Extra Butter",3.99,3.99,1.62,Chips & Snacks,246,g
Pretzel Sticks Cinnamon Sugar,5.49,5.49,2.59,Chips & Snacks,212,g
Classic Flavour Crispy Seaweed Big Sheet,2.99,3.79,10.38,Chips & Snacks,28.8,g
Indian Snacks Chatpata Dal,1.79,1.79,1.19,Chips & Snacks,150,g
"Red Peppers, Roasted",10.99,10.99,0.73,Chips & Snacks,1.5,l
Organics Unsalted Brown Rice Cakes,2.99,2.99,2.49,Chips & Snacks,120,g
"Oatmeal, Nut Butter & Peanut Bars",3.79,3.79,1.99,Chips & Snacks,190,g
"Crunchy Granola Bars, Oats 'n Dark Chocolate",3.99,3.99,1.90,Chips & Snacks,210,g
Hot Snacksticks Sausage Snacks,9.99,9.99,4.44,Chips & Snacks,225,g
Indian Snacks Chatpata Masala Namkeen,1.79,1.79,1.56,Chips & Snacks,115,g
"Snacks, Snack Mix Original",9.29,9.29,0.84,Chips & Snacks,1100,g
Bar Mix Craft,6.49,6.49,1.18,Chips & Snacks,550,g
"Handcrafted-Style Chips, Ketchup",4.79,4.79,3.19,Chips & Snacks,150,g
Sparkling Cranberry Beverage Pink Cranberry,7.49,7.49,0.37,Water,2040,ml
Boston Cream Granola Bar,2.49,2.49,1.66,Chips & Snacks,150,g
Dipped & Chewy Caramel Granola Bars ,2.79,2.79,1.62,Chips & Snacks,172,g
Sweet and Salty Almond Nut Bars Club Size,6.99,6.99,1.11,Chips & Snacks,630,g
Fruit Bowls Extra Cherries,3.69,3.69,0.86,Chips & Snacks,428,ml
Chickpea Chips Sea Salt,5.99,5.99,4.68,Chips & Snacks,128,g
Krinkle Cut Potato Chips Dill Pickle,4.49,4.49,2.27,Chips & Snacks,198,g
Chewy Chocolate Chip Granola Bars,2.29,2.29,1.91,Chips & Snacks,120,g
All Dressed Flavoured Potato Chips,5.99,5.99,1.71,Chips & Snacks,350,g
All Dressed Crisps,3.99,3.99,1.70,Chips & Snacks,235,g
Apple Cinnamon With Probiotics Organic Oat Clusters,6.49,6.49,7.21,Chips & Snacks,90,g
Restaurante Premium Tortilla Chips Hint of Lime with Sea Salt ,4.49,4.49,1.63,Chips & Snacks,275,g
Fava Beans Roasted Jalapeño Lime,4.99,4.99,3.56,Chips & Snacks,140,g
Onion Rings,1.29,1.37,2.58,Chips & Snacks,50,g
Sweet and Salty Peanut Chewy Nut Bars,2.79,2.79,1.59,Chips & Snacks,175,g
Original Recipe kettle cooked potato chips 275g,5.99,5.99,2.18,Chips & Snacks,275,g
"Pudding, Mango",3.99,3.99,0.56,Chips & Snacks,708,g
Fruit To Go 100% Fruit Snack Pack,10.99,10.99,3.27,Chips & Snacks,336,g
Crunchy Cheese Flavoured Snacks,5.99,5.99,1.54,Chips & Snacks,390,g
Original Snack Mix 250g,4.29,4.29,1.72,Chips & Snacks,250,g
"Potato Chips, Ketchup",3.49,3.49,1.59,Chips & Snacks,220,g
Unsalted Roasted Cashews,4.79,4.79,2.40,Chips & Snacks,200,g
Fruitsource 100% Fruit Bar Pack,10.99,10.99,2.48,Chips & Snacks,444,g
Lightly Salted Chips,3.99,3.99,1.70,Chips & Snacks,235,g
Wavy Original potato chips,5.99,5.99,1.44,Chips & Snacks,415,g
Cheesy Mix 504g,9.99,9.99,1.98,Chips & Snacks,504,g
Large & Round White Corn Tortilla Chips ,2.79,2.79,0.82,Chips & Snacks,340,g
Sparkling Cranberry Beverage,7.49,7.49,0.37,Water,2040,ml
Peaches In Strawberry Flavoured Gel,3.69,3.69,0.75,Chips & Snacks,492,g
Loads of Spicy Barbecue Rippled Potato Chips,2.79,2.79,1.40,Chips & Snacks,200,g
Fru-Gel Fruit Juice Gels Orange,3.69,3.69,0.75,Chips & Snacks,492,g
Sweet & Salty Peanut,6.99,6.99,1.33,Chips & Snacks,525,g
Puffed Rice Brittle Mamra Chikki,1.49,1.49,1.49,Chips & Snacks,100,g
Rice Krispies Bars Original,2.99,2.99,1.70,Chips & Snacks,176,g
Sausage Snacks Snack Sticks Hot,6.49,6.49,4.33,Chips & Snacks,150,g
Cheddar Cheese Flavour Party Stack Potato Chips,3.99,3.99,1.97,Chips & Snacks,203,g
BBQ Crisps,3.99,3.99,1.70,Chips & Snacks,235,g
Crab Flavoured Chips ,1.99,1.99,3.98,Chips & Snacks,50,g
Original Party Mix,3.29,3.29,1.03,Chips & Snacks,320,g
Peppered Beef Jerky Meat Snacks,6.49,6.49,8.11,Chips & Snacks,80,g
Peanut Butter Filled Pretzels,8.99,8.99,1.32,Chips & Snacks,680,g
Dipped and Chewy Chocolate Fudge and Chocolate Chip Granola Bars,6.99,6.99,1.13,Chips & Snacks,618,g
Hot 'N Spicy Flavoured Pork Rinds (small bag) 70g,2.79,2.79,3.99,Chips & Snacks,70,g
Zesty Dill Pickle Craft Pretzels,5.49,5.49,4.22,Chips & Snacks,130,g
Soya Sticks Magic Masala,2.49,2.49,1.38,Chips & Snacks,180,g
Salt & Vinegar Flavoured Potato Chips,4.49,4.49,2.25,Chips & Snacks,200,g
Classic Style Pretzel Sticks 370g,4.49,4.49,1.21,Chips & Snacks,370,g
Salt & Vinegar Flavour Potato Chips,3.49,3.49,2.24,Chips & Snacks,156,g
Dry-Roasted Jumbo Pistachios,8.29,8.29,2.86,Chips & Snacks,290,g
Tortilla Chips Organic Rounds Salted,4.49,4.49,1.50,Chips & Snacks,300,g
Whole Natural Almonds,14.99,14.99,3.30,Chips & Snacks,454,g
Apple Strawberry 100% Fruit Bar,1.29,1.29,3.49,Chips & Snacks,37,g
Krinkle Cut Potato Chips Salt & Fresh Ground Pepper Party Size,6.49,6.49,1.76,Chips & Snacks,368,g
Peanut Free Apple Cereal Bars,3.49,3.49,1.16,Chips & Snacks,300,g
Apple Cinnamon Apple Sauce ,2.79,2.79,0.47,Chips & Snacks,600,ml
Onion Rings,1.29,1.37,2.58,Chips & Snacks,50,g
Indian Snacks Chatpata Masala Namkeen,1.79,1.79,1.56,Chips & Snacks,115,g
"Snacks, Snack Mix Original",9.29,9.29,0.84,Chips & Snacks,1100,g
Bar Mix Craft,6.49,6.49,1.18,Chips & Snacks,550,g
Non-Alcoholic Pilsner,8.99,8.99,0.44,Non-Alcoholic Drinks,2046,ml
Boston Cream Granola Bar,2.49,2.49,1.66,Chips & Snacks,150,g
Sweet and Salty Almond Nut Bars Club Size,6.99,6.99,1.11,Chips & Snacks,630,g
Fruit To Go 100% Fruit Snack Pack,10.99,10.99,3.27,Chips & Snacks,336,g
Crunchy Cheese Flavoured Snacks,5.99,5.99,1.54,Chips & Snacks,390,g
"Handcrafted-Style Chips, Ketchup",4.79,4.79,3.19,Chips & Snacks,150,g
Dipped & Chewy Caramel Granola Bars ,2.79,2.79,1.62,Chips & Snacks,172,g
Sweet and Salty Peanut Chewy Nut Bars,2.79,2.79,1.59,Chips & Snacks,175,g
Original Recipe kettle cooked potato chips 275g,5.99,5.99,2.18,Chips & Snacks,275,g
"Pudding, Mango",3.99,3.99,0.56,Chips & Snacks,708,g
Sriracha Splash Flavoured Potato Chips,1.49,1.49,1.86,Chips & Snacks,80,g
Rice Cake Minis White Cheddar Flavoured Organic,6.49,6.49,4.57,Chips & Snacks,142,g
"Tortilla Chips, Restaurant style",5.49,5.49,1.04,Chips & Snacks,530,g
Rich and Chewy Chocolate Chip and Marshmallow Granola Bars,2.79,2.79,2.33,Chips & Snacks,120,g
Dipps Cookies and Cream Flavour Granola Bars,2.29,2.49,1.53,Chips & Snacks,150,g
Cream & Onion ridged flavoured potato chips,3.99,3.99,2.42,Chips & Snacks,165,g
Sweet Mesquite BBQ Roasted Broad Beans,2.99,2.99,3.52,Chips & Snacks,85,g
Fruitsations Unsweetened Strawberry Kiwi Apple Sauce,3.29,3.29,0.49,Chips & Snacks,666,g
Organics Sea Salt Brown Rice Cakes,2.99,2.99,2.49,Chips & Snacks,120,g
Fruit To Go Apple Strawberry Banana Carrot 100% Fruit Snack,0.49,0.49,3.50,Chips & Snacks,14,g
Pretzel Sticks Cinnamon Sugar,5.49,5.49,2.59,Chips & Snacks,212,g
"Popcorn, Smart Pop",8.99,8.99,1.28,Chips & Snacks,700,g
Indian Snacks Chatpata Dal,1.79,1.79,1.19,Chips & Snacks,150,g
"Veggie Chips, Sea Salt",3.79,3.79,2.69,Chips & Snacks,141,g
"Gourmet Brown Rice Crisps, Sweet Chili",4.49,4.49,2.90,Chips & Snacks,156,g
Potato Chips Sea Salt & Vinegar,4.49,4.49,2.27,Chips & Snacks,198,g
Crispy Minis Salt & Vinegar flavour brown rice chips,2.79,2.79,2.79,Chips & Snacks,100,g
Veggie Chips,3.79,3.79,2.67,Chips & Snacks,142,g
Sea Salt Purple Kernel Corn Crisps,2.49,2.49,2.26,Chips & Snacks,110,g
Corn Tostadas Jalapeño Flavor With Sea Salt,3.49,3.49,1.00,Chips & Snacks,350,g
Very Verde Good Tortilla Chips  ,5.49,5.49,3.54,Chips & Snacks,155,g
KitKat Snack Size,2.29,2.29,2.04,Candy & Chocolate,112,g
KitKat Pops Milk Chocolaty Snacks Pouch,5.29,5.29,3.11,Candy & Chocolate,170,g
